Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/11, 06:00:00, 45961.8, 46047.0, 45755.0, 45915.4, 68969872, 80000, 34999420, 33970444
2024/1/11, 06:11:00, 45915.4, 46437.0, 45895.5, 46372.9, 71036936, 80000, 30869676, 40167248
2024/1/11, 06:19:10, 46372.9, 46746.0, 46279.1, 46572.9, 71333072, 80000, 32927896, 38405168
2024/1/11, 06:23:40, 46572.9, 46633.0, 46307.6, 46326.0, 59963308, 80000, 34243100, 25720216
2024/1/11, 06:32:40, 46326.0, 46665.9, 46282.4, 46559.5, 45495868, 80000, 20141104, 25354772
2024/1/11, 06:50:20, 46559.5, 46965.0, 46543.9, 46952.4, 70741976, 80000, 28398212, 42343764
2024/1/11, 06:56:50, 46952.4, 47200.0, 46762.7, 47121.9, 70695616, 80000, 31143968, 39551648
2024/1/11, 07:05:20, 47121.9, 47419.7, 47040.0, 47334.7, 72461936, 80000, 33741540, 38720388
2024/1/11, 07:10:00, 47334.7, 47629.1, 47218.6, 47625.3, 68761624, 80000, 32578122, 36183500
2024/1/11, 07:16:10, 47625.3, 47699.3, 47315.4, 47556.3, 65974880, 80000, 34691204, 31283680
2024/1/11, 07:21:20, 47556.3, 47562.7, 47000.0, 47167.0, 67316768, 80000, 38582736, 28734040
2024/1/11, 07:26:50, 47167.0, 47176.4, 46635.9, 46694.0, 67552048, 80000, 37874252, 29677808
2024/1/11, 07:30:20, 46694.0, 46993.6, 46543.0, 46923.1, 63532160, 80000, 31516132, 32016026
2024/1/11, 07:35:50, 46923.1, 46948.9, 46368.0, 46598.3, 66039044, 80000, 35015792, 31023248
2024/1/11, 07:42:20, 46598.3, 46750.0, 46445.6, 46626.9, 55234284, 80000, 27357336, 27876942
2024/1/11, 07:55:50, 46626.9, 46694.6, 46333.7, 46390.9, 49939504, 80000, 27872666, 22066828
2024/1/11, 08:09:30, 46390.9, 46562.3, 46308.0, 46391.5, 58687884, 80000, 29140692, 29547186
2024/1/11, 08:26:00, 46391.5, 46674.7, 46350.0, 46584.1, 42142508, 80000, 20482084, 21660422
2024/1/11, 08:49:30, 46584.1, 46729.8, 46473.3, 46623.3, 40362888, 80000, 20415772, 19947126
2024/1/11, 09:17:20, 46623.3, 46758.0, 46467.5, 46601.7, 48982940, 80000, 24495696, 24487236
2024/1/11, 09:45:20, 46601.7, 46662.9, 46494.4, 46614.9, 41002124, 80000, 20276650, 20725480
2024/1/11, 10:33:20, 46614.9, 46623.0, 46146.5, 46416.3, 53533720, 80000, 31565776, 21967944
2024/1/11, 11:12:40, 46416.3, 46521.3, 46211.9, 46512.7, 50185444, 80000, 26777716, 23407732
2024/1/11, 11:32:50, 46512.7, 46572.8, 46296.4, 46376.8, 49393860, 80000, 26192688, 23201168
2024/1/11, 12:10:50, 46376.8, 46510.7, 46330.1, 46339.3, 41908116, 80000, 23002968, 18905140
2024/1/11, 13:05:00, 46339.3, 46367.5, 46108.3, 46108.3, 46985936, 80000, 26800294, 20185632
2024/1/11, 13:39:20, 46108.3, 46192.4, 45890.1, 46117.3, 64286140, 80000, 37267628, 27018500
2024/1/11, 13:55:50, 46117.3, 46135.1, 45724.3, 45780.1, 63241004, 80000, 37897684, 25343306
2024/1/11, 14:13:00, 45780.1, 45845.1, 45610.1, 45843.5, 64487240, 80000, 32906832, 31580414
2024/1/11, 14:32:50, 45843.5, 46003.0, 45801.5, 45988.1, 53972824, 80000, 24877646, 29095174
2024/1/11, 15:07:50, 45988.1, 46168.0, 45957.3, 45987.2, 52742312, 80000, 25561558, 27180752
2024/1/11, 15:37:40, 45987.2, 46256.5, 45987.1, 46255.7, 44758124, 80000, 17887580, 26870548
2024/1/11, 16:24:20, 46255.7, 46320.0, 46162.5, 46272.3, 37975688, 80000, 19612304, 18363376
2024/1/11, 16:58:00, 46272.3, 46354.0, 46210.5, 46271.9, 40420136, 80000, 20158158, 20261976
2024/1/11, 17:40:50, 46271.9, 46388.8, 46201.1, 46383.6, 46423016, 80000, 21444440, 24978568
2024/1/11, 18:20:00, 46383.6, 46593.0, 46383.5, 46592.9, 44706928, 80000, 19412492, 25294432
2024/1/11, 18:35:40, 46592.9, 46807.7, 46550.3, 46753.6, 46599820, 80000, 21069356, 25530464
2024/1/11, 18:47:20, 46753.6, 46864.0, 46681.2, 46843.3, 51405952, 80000, 27640912, 23765036
2024/1/11, 18:59:30, 46843.3, 47000.0, 46704.8, 46980.3, 54899100, 80000, 24630478, 30268636
2024/1/11, 19:14:00, 46980.3, 47149.0, 46880.3, 47079.3, 45727580, 80000, 18392966, 27334612
2024/1/11, 19:24:10, 47079.3, 47171.0, 46900.0, 46900.0, 43711880, 80000, 26391660, 17320220
2024/1/11, 19:35:40, 46900.0, 47072.8, 46835.0, 47057.8, 53592516, 80000, 26286582, 27305932
2024/1/11, 19:56:00, 47057.8, 47184.8, 46962.6, 47021.1, 48726628, 80000, 27287424, 21439202
2024/1/11, 20:12:40, 47021.1, 47211.0, 46939.2, 47088.2, 45338056, 80000, 21640390, 23697664
2024/1/11, 20:32:20, 47088.2, 47352.6, 47083.6, 47233.9, 52728412, 80000, 26217680, 26510734
2024/1/11, 20:41:50, 47233.9, 47418.7, 47200.3, 47404.2, 49068136, 80000, 23058582, 26009552
2024/1/11, 20:55:50, 47404.2, 47468.8, 47244.9, 47274.5, 53260664, 80000, 26442668, 26817996
2024/1/11, 21:07:40, 47274.5, 47353.2, 47161.0, 47331.4, 57591896, 80000, 31331096, 26260790
2024/1/11, 21:25:50, 47331.4, 47336.0, 46860.2, 46998.7, 65060224, 80000, 38940436, 26119792
2024/1/11, 21:31:20, 46998.7, 47163.2, 46771.0, 47122.1, 63417440, 80000, 32294626, 31122810
2024/1/11, 21:35:30, 47122.1, 47220.9, 46944.4, 47204.7, 48314588, 80000, 23243724, 25070864
2024/1/11, 21:46:00, 47204.7, 47333.0, 47171.4, 47216.9, 53624328, 80000, 26858728, 26765604
2024/1/11, 22:00:30, 47216.9, 47748.0, 47215.0, 47716.0, 66193120, 80000, 25244660, 40948464
2024/1/11, 22:05:00, 47716.0, 47826.0, 47518.6, 47676.0, 75869872, 80000, 38291016, 37578864
2024/1/11, 22:09:30, 47676.0, 47868.0, 47572.4, 47820.9, 66832232, 80000, 32880136, 33952092
2024/1/11, 22:16:50, 47820.9, 47866.0, 47482.0, 47650.0, 68456944, 80000, 36448768, 32008180
2024/1/11, 22:24:10, 47650.0, 47929.9, 47586.0, 47736.3, 79245680, 80000, 34909224, 44336448
2024/1/11, 22:30:40, 47736.3, 47963.2, 47474.5, 47895.9, 86936592, 80000, 47891484, 39045100
2024/1/11, 22:34:50, 47895.9, 48125.2, 47800.0, 48119.9, 89060384, 80000, 34155380, 54905000
2024/1/11, 22:37:00, 48119.9, 48211.2, 47919.2, 48093.0, 87380000, 80000, 38403312, 48976688
2024/1/11, 22:39:50, 48093.0, 48500.0, 48076.1, 48444.9, 90267728, 80000, 36016576, 54251152
